candidate_id,headline,skills,experience_years,past_roles,certifications,education,projects,extra_curriculars,location,notice_period
C016,B2B Sales Executive pivoting into tech sales,"B2B sales, Salesforce, Territory management, Client relationship building",1,"Sales Executive, Gulf Retail Group (Riyadh) — 2021–Present: relevant accomplishment. | Business Development Rep, Al Noor Real Estate (Riyadh) — earlier tenure, 2+ years.",-,"B.A. Business Administration, King Fahd University of Petroleum & Minerals (2016–2021), GPA: 3.7/4.0",-,Toastmasters member,"Riyadh, Saudi Arabia",60 days
C015,Motivated sales professional with a track record of exceeding targets,"B2B sales, Salesforce, Territory management, Client relationship building",3,"Business Development Rep, Talabat (Sharjah) — 2020–Present: relevant accomplishment. | Account Executive, Gulf Retail Group (Sharjah) — earlier tenure, 2+ years.",-,"B.A. Business Administration, American University of Sharjah (2013–2021), GPA: 2.8/4.0",Ran a small dropshipping side business (2021-2022),Toastmasters member,"Sharjah, UAE",Available immediately
C057,Product marketer with 4 years driving GTM strategy,"Go-to-market strategy, Positioning, Content creation, Figma",4,"Product Marketing Manager, Kitopi (Doha) — 2022–Present: relevant accomplishment. | Marketing Manager, Noon.com (Doha) — earlier tenure, 2+ years.",HubSpot Content Marketing Certified,"B.A. Marketing / Communications, Alexandria University (2014–2015), GPA: 2.8/4.0",-,Panelist at a regional marketing conference,"Doha, Qatar",45 days
C120,People-focused HR Business Partner with GCC experience,"Employee relations, UAE labor law, Performance management, HRIS",4,"<b>HR Business Partner</b>, Emirates Group (Dubai)<br/>2019-Present: managed employee relations.&nbsp;",-,"B.A. Human Resources Management, United Arab Emirates University (2018–2017), GPA: 2.7/4.0",-,-,"Cairo, Egypt",30 days notice
,Finance leader with 4 years across retail and manufacturing,"Corporate finance, Treasury, Cash flow forecasting, IFRS 9",4,"Financial Controller, Chalhoub Group (Abu Dhabi) — 2022–Present: relevant accomplishment. | Finance Manager, Gulf Manufacturing Co. (Abu Dhabi) — earlier tenure, 2+ years.",-,"MBA / B.Com Accounting, United Arab Emirates University (2016–2017), GPA: 2.9/4.0",-,-,"Abu Dhabi, UAE",60 days
C028,Finance leader with 1 years across retail and manufacturing,"Financial Modeling, IFRS, Budgeting & Forecasting, SAP FICO, Team Leadership",1,"Financial Controller, Emirates Holdings (Amman) — 2023–Present: relevant accomplishment. | Finance Manager, Chalhoub Group (Amman) — earlier tenure, 2+ years.",ACCA (Part Qualified),"MBA / B.Com Accounting, American University in Cairo (2014–2014), GPA: 3.0/4.0",-,"Board member, local finance professionals' networking group","Amman, Jordan",60 days
C064,Detail-oriented support agent with strong troubleshooting skills,"Live chat support, CRM tools, Escalation handling",9,"Support Agent, Noon.com (Beirut) — 2023–Present: relevant accomplishment. | Support Agent, Careem (Beirut) — earlier tenure, 2+ years.",Zendesk Support Certified,"B.A. English Literature / B.A. Communications, American University in Cairo (2013–2016), GPA: 3.6/4.0",-,Volunteer translator for a local NGO,"Beirut, Lebanon",1 month
C026,Finance Manager with strong FP&A and GCC market expertise,"Financial analysis, Excel/advanced, Oracle ERP, Variance analysis",8,"Financial Controller, Gulf Manufacturing Co. (Abu Dhabi) — 2021–Present: relevant accomplishment. | Senior Financial Analyst, Landmark Group (Abu Dhabi) — earlier tenure, 2+ years.","CFA Level II Candidate, CMA (Certified)","MBA / B.Com Accounting, King Saud University (2010–2024), GPA: 3.1/4.0",-,Volunteer financial literacy trainer,"Abu Dhabi, UAE",1 month
C126,"Cloud infrastructure specialist, AWS and Kubernetes focused","Azure, Jenkins, Ansible, Monitoring (Datadog/Prometheus)",10,"DevOps Engineer, Barq Systems (Riyadh) — 2023–Present: relevant accomplishment. | DevOps Engineer, Fintech Gulf (Riyadh) — earlier tenure, 2+ years.",AWS Certified DevOps Engineer,"B.Sc. Computer Engineering, King Saud University (2016–2021), GPA: 3.0/4.0",Open-source contributor to a Terraform module registry,-,"Riyadh, Saudi Arabia",starts in 2027
C071,Site reliability-minded DevOps engineer,"Azure, Jenkins, Ansible, Monitoring (Datadog/Prometheus)",4,"DevOps Engineer, NileTech Solutions (Dubai) — 2020–Present: relevant accomplishment. | DevOps Engineer, Barq Systems (Dubai) — earlier tenure, 2+ years.",AWS Certified DevOps Engineer,"B.Sc. Computer Engineering, King Fahd University of Petroleum & Minerals (2015–2022), GPA: 2.6/4.0","Migrated legacy infra to Kubernetes, cut deployment time by 40%",-,"Dubai, UAE",Negotiable
C012,Results-oriented sales rep with strong pipeline generation skills,"Outbound prospecting, HubSpot, Negotiation, Account management",2,"Business Development Rep, Gulf Retail Group (Abu Dhabi) — 2021–Present: relevant accomplishment. | Sales Executive, Talabat (Abu Dhabi) — earlier tenure, 2+ years.",HubSpot Sales Certified,"B.A. Business Administration, Alexandria University (2011–2019), GPA: 3.2/4.0",Ran a small dropshipping side business (2021-2022),Volunteer at a local youth sports club,"Abu Dhabi, UAE",60 days
C022,Finance Manager with strong FP&A and GCC market expertise,"Corporate finance, Treasury, Cash flow forecasting, IFRS 9",6,"Financial Controller, Gulf Manufacturing Co. (Alexandria) — 2021–Present: relevant accomplishment. | Finance Manager, Emirates Holdings (Alexandria) — earlier tenure, 2+ years.",-,"MBA / B.Com Accounting, American University of Sharjah (2020–2017), GPA: 3.1/4.0",-,"Board member, local finance professionals' networking group","Alexandria, Egypt",2 weeks notice
C069,Customer support specialist with 4 years in SaaS and e-commerce,"Customer support, Ticketing systems, Product knowledge, Empathy",4,"Customer Success Associate, Fetchr (Abu Dhabi) — 2020–Present: relevant accomplishment. | Customer Success Associate, Talabat (Abu Dhabi) — earlier tenure, 2+ years.",Zendesk Support Certified,"B.A. English Literature / B.A. Communications, American University in Cairo (2014–2020), GPA: 3.1/4.0",-,-,"Abu Dhabi, UAE",2 weeks notice
C052,Creative and data-driven marketing manager,"Go-to-market strategy, Positioning, Content creation, Figma",6,"Product Marketing Manager, Noon.com (Dubai) — 2021–Present: relevant accomplishment. | Growth Marketing Specialist, Careem (Dubai) — earlier tenure, 2+ years.",-,"B.A. Marketing / Communications, American University in Cairo (2015–2024), GPA: 4.0/4.0",Led a rebrand project for a regional D2C startup,Panelist at a regional marketing conference,"Dubai, UAE",Immediate
C094,"Bilingual corporate lawyer, GCC cross-border experience","Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",4,"Corporate Lawyer, DP World (Sharjah) — 2023–Present: relevant accomplishment. | Legal Counsel, Majid Al Futtaim (Sharjah) — earlier tenure, 2+ years.","LLM, Commercial Law","LLB / LLM, Qatar University (2010–2020), GPA: 3.2/4.0",-,Guest lecturer at a regional law school,"Sharjah, UAE",45 days
C128,Legal counsel with 15 years in UAE commercial law,"Corporate governance, M&A support, Regulatory compliance",1,"Corporate Lawyer, DP World (Doha) — 2020–Present: relevant accomplishment. | Legal Advisor, Emirates Group (Doha) — earlier tenure, 2+ years.",-,"LLB / LLM, King Saud University (2014–2019)",-,Pro bono legal aid volunteer,"Doha, Qatar",1 month
C100,In-house counsel with contract and compliance expertise,"Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",8,"Corporate Lawyer, Majid Al Futtaim (Beirut) — 2021–Present: relevant accomplishment. | Corporate Lawyer, Emirates Group (Beirut) — earlier tenure, 2+ years.","LLM, Commercial Law","LLB / LLM, King Saud University (2019–2022), GPA: 4.0/4.0",Advised on a cross-border JV structuring project,-,"Beirut, Lebanon",2 weeks notice
C058,Creative and data-driven marketing manager,"Go-to-market strategy, Positioning, Content creation, Figma",2,"Marketing Manager, Noon.com (Abu Dhabi) — 2023–Present: relevant accomplishment. | Marketing Manager, Careem (Abu Dhabi) — earlier tenure, 2+ years.",-,"B.A. Marketing / Communications, Alexandria University (2017–2017), GPA: 2.8/4.0",-,Panelist at a regional marketing conference,"Abu Dhabi, UAE",Immediate
C024,Finance leader with 8 years across retail and manufacturing,"Financial Modeling, IFRS, Budgeting & Forecasting, SAP FICO, Team Leadership",8,"Senior Financial Analyst, Landmark Group (Riyadh) — 2023–Present: relevant accomplishment. | Senior Financial Analyst, Chalhoub Group (Riyadh) — earlier tenure, 2+ years.",CPA,"MBA / B.Com Accounting, American University of Sharjah (2018–2021), GPA: 3.6/4.0",-,-,"Riyadh, Saudi Arabia",45 days
C030,Finance Manager with strong FP&A and GCC market expertise,"Financial Modeling, IFRS, Budgeting & Forecasting, SAP FICO, Team Leadership",3,"Senior Financial Analyst, Gulf Manufacturing Co. (Cairo) — 2021–Present: relevant accomplishment. | Finance Manager, Landmark Group (Cairo) — earlier tenure, 2+ years.","CFA Level II Candidate, CMA (Certified)","MBA / B.Com Accounting, American University in Cairo (2020–2020), GPA: 3.1/4.0",Built an internal budgeting dashboard using Power BI,-,"Cairo, Egypt",Immediate
C019,B2B Sales Executive pivoting into tech sales,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",6,"Business Development Rep, Al Noor Real Estate (Jeddah) — 2020–Present: relevant accomplishment. | Business Development Rep, Gulf Retail Group (Jeddah) — earlier tenure, 2+ years.",Salesforce Trailhead – Sales Cloud Basics,"B.A. Business Administration, King Saud University (2017–2016), GPA: 3.3/4.0",Ran a small dropshipping side business (2021-2022),-,"Jeddah, Saudi Arabia",2 weeks notice
C098,"Bilingual corporate lawyer, GCC cross-border experience","Corporate governance, M&A support, Regulatory compliance",3,"Corporate Lawyer, Chalhoub Group (Riyadh) — 2023–Present: relevant accomplishment. | Legal Advisor, Emirates Group (Riyadh) — earlier tenure, 2+ years.",UAE Bar Qualification,"LLB / LLM, Qatar University (2019–2024), GPA: 3.4/4.0",-,Guest lecturer at a regional law school,"Riyadh, Saudi Arabia",60 days
C013,Results-oriented sales rep with strong pipeline generation skills,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",5,"Telesales Agent, Talabat (Cairo) — 2022–Present: relevant accomplishment. | Account Executive, Al Noor Real Estate (Cairo) — earlier tenure, 2+ years.",-,"B.A. Business Administration, Qatar University (2011–2018), GPA: 2.9/4.0",Ran a small dropshipping side business (2021-2022),Volunteer at a local youth sports club,"Cairo, Egypt",Negotiable
C078,"Cloud infrastructure specialist, AWS and Kubernetes focused","CI/CD pipelines, Docker, Kubernetes, AWS, Terraform",5,"Site Reliability Engineer, Barq Systems (Amman) — 2023–Present: relevant accomplishment. | Cloud Infrastructure Engineer, Souq Digital (Amman) — earlier tenure, 2+ years.",HashiCorp Terraform Associate,"B.Sc. Computer Engineering, Lebanese American University (2012–2018)",-,Speaker at a regional DevOps meetup,"Amman, Jordan",2 weeks notice
C033,Analytics professional with 2 years in SQL and Python,"Python, Pandas, SQL, Google Analytics, Looker",2,"Data Analyst, Noon.com (Amman) — 2022–Present: relevant accomplishment. | Business Intelligence Analyst, Talabat (Amman) — earlier tenure, 2+ years.",Google Data Analytics Certificate,"B.Sc. Statistics / B.Sc. Computer Science, Lebanese American University (2012–2024)",-,Guest lecturer at a coding bootcamp,"Amman, Jordan",30 days notice
C038,Data analyst with a passion for turning numbers into decisions,"SQL, Python, Tableau, Statistics, A/B testing",8,"Business Intelligence Analyst, Property Finder (Amman) — 2023–Present: relevant accomplishment. | Business Intelligence Analyst, Careem (Amman) — earlier tenure, 2+ years.",Microsoft Certified: Data Analyst Associate,"B.Sc. Statistics / B.Sc. Computer Science, King Saud University (2014–2024), GPA: 2.5/4.0",Built a personal dashboard tracking regional inflation data,Guest lecturer at a coding bootcamp,"Amman, Jordan",90 days notice
C084,Technical recruiter with 5 years sourcing engineering talent,"Full-cycle recruiting, ATS tools, Sourcing, LinkedIn Recruiter",5,"Recruiter, Kitopi (Alexandria) — 2023–Present: relevant accomplishment. | Technical Recruiter, Careem (Alexandria) — earlier tenure, 2+ years.",LinkedIn Certified Professional Recruiter,"B.A. Human Resources / Psychology, King Saud University (2016–2018)",-,Volunteer mentor for a regional women-in-tech program,"Alexandria, Egypt",Available immediately
C010,"Full-stack leaning backend developer, fintech & e-commerce background","Node.js, Express, MongoDB, AWS Lambda, Docker, GraphQL",9,"Platform Engineer, PayFlow (Doha) — 2021–Present: relevant accomplishment. | Platform Engineer, NileTech Solutions (Doha) — earlier tenure, 2+ years.",-,"B.Sc. Computer Science, King Fahd University of Petroleum & Minerals (2010–2017), GPA: 2.7/4.0",Built an open-source rate-limiting library (200+ GitHub stars),Occasional speaker at a regional Python meetup,"Doha, Qatar",2 months
C027,Senior finance professional with IFRS and budgeting expertise,"Financial Modeling, IFRS, Budgeting & Forecasting, SAP FICO, Team Leadership",2,"Finance Manager, Al Futtaim Retail Group (Dubai) — 2022–Present: relevant accomplishment. | Senior Financial Analyst, Emirates Holdings (Dubai) — earlier tenure, 2+ years.",-,"MBA / B.Com Accounting, American University in Cairo (2013–2015), GPA: 3.4/4.0",-,Volunteer financial literacy trainer,"Dubai, UAE",45 days
C097,In-house counsel with contract and compliance expertise,"Contract drafting, UAE commercial law, Compliance, Bilingual Arabic/English",2,"Legal Advisor, Chalhoub Group (Sharjah) — 2022–Present: relevant accomplishment. | Corporate Lawyer, Aldar Properties (Sharjah) — earlier tenure, 2+ years.",-,"LLB / LLM, King Fahd University of Petroleum & Minerals (2016–2024), GPA: 3.8/4.0",-,Guest lecturer at a regional law school,"Sharjah, UAE",Available immediately
C102,People-focused HR Business Partner with GCC experience ,"Recruitment, Onboarding, Employee engagement, Workday",4,"HR Generalist, Etisalat (Sharjah) — 2021–Present: relevant accomplishment. | HR Business Partner, Emirates Group (Sharjah) — earlier tenure, 2+ years.",CIPD Level 5,"B.A. Human Resources Management, American University of Sharjah (2010–2018), GPA: 3.9/4.0",Led an internal employee engagement survey initiative,-,"Sharjah,UAE",45 days
C002,Software Engineer specializing in backend and cloud infrastructure,"Python, Django, PostgreSQL, AWS, Docker, REST API design, Git, CI/CD",6,"Backend Engineer, Barq Systems (Beirut) — 2021–Present: relevant accomplishment. | Platform Engineer, PayFlow (Beirut) — earlier tenure, 2+ years.",-,"B.Sc. Computer Science, Cairo University (2012–2018), GPA: 4.0/4.0",-,Occasional speaker at a regional Python meetup,"Beirut, Lebanon",Immediate
C075,Site reliability-minded DevOps engineer,"CI/CD pipelines, Docker, Kubernetes, AWS, Terraform",3,"Cloud Infrastructure Engineer, NileTech Solutions (Alexandria) — 2020–Present: relevant accomplishment. | Site Reliability Engineer, Fintech Gulf (Alexandria) — earlier tenure, 2+ years.",-,"B.Sc. Computer Engineering, King Saud University (2017–2021), GPA: 2.5/4.0","Migrated legacy infra to Kubernetes, cut deployment time by 40%",Speaker at a regional DevOps meetup,"Alexandria, Egypt",Negotiable
C104,Analytics professional with 4 years in SQL and Python ,"Python, Pandas, SQL, Google Analytics, Looker",4,"Business Intelligence Analyst, Talabat (Beirut) — 2023–Present: relevant accomplishment. | Reporting Analyst, Careem (Beirut) — earlier tenure, 2+ years.",Google Data Analytics Certificate,"B.Sc. Statistics / B.Sc. Computer Science, Qatar University (2018–2016), GPA: 3.4/4.0",-,Guest lecturer at a coding bootcamp,"Beirut,Lebanon",2 weeks notice
C045,People-focused HR Business Partner with GCC experience,"Recruitment, Onboarding, Employee engagement, Workday",8,"HR Business Partner, Emirates Group (Doha) — 2020–Present: relevant accomplishment. | HR Generalist, DP World (Doha) — earlier tenure, 2+ years.",CIPD Level 5,"B.A. Human Resources Management, American University in Cairo (2020–2018), GPA: 2.9/4.0",Led an internal employee engagement survey initiative,"Member, regional HR professionals network","Doha, Qatar",45 days
C068,Detail-oriented support agent with strong troubleshooting skills,"Live chat support, CRM tools, Escalation handling",7,"Support Agent, Talabat (Sharjah) — 2023–Present: relevant accomplishment. | Support Agent, Noon.com (Sharjah) — earlier tenure, 2+ years.",-,"B.A. English Literature / B.A. Communications, American University in Cairo (2017–2022), GPA: 2.6/4.0",Created an internal FAQ knowledge base used by the support team,Volunteer translator for a local NGO,"Sharjah, UAE",2 weeks notice
C018,Results-oriented sales rep with strong pipeline generation skills,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",6,"Sales Executive, Al Noor Real Estate (Doha) — 2023–Present: relevant accomplishment. | Telesales Agent, Talabat (Doha) — earlier tenure, 2+ years.",-,"B.A. Business Administration, Cairo University (2013–2023), GPA: 2.9/4.0",-,Volunteer at a local youth sports club,"Doha, Qatar",30 days notice
C112,Backend Engineer with 2+ years building scalable systems,,2,"Software Engineer, Souq Digital (Abu Dhabi) — 2020–Present: relevant accomplishment. | Backend Engineer, NileTech Solutions (Abu Dhabi) — earlier tenure, 2+ years.",Certified Kubernetes Administrator,"B.Sc. Computer Science, University of Jordan (2010–2020), GPA: 3.8/4.0",-,Occasional speaker at a regional Python meetup,"Abu Dhabi, UAE",Available immediately
C109,Finance Manager with strong FP&A and GCC market expertise,"Financial analysis, Excel/advanced, Oracle ERP, Variance analysis",8,"Financial Controller, Gulf Manufacturing Co. (Abu Dhabi) — 2021–Present: relevant accomplishment. | Senior Financial Analyst, Landmark Group (Abu Dhabi) — earlier tenure, 2+ years.","CFA Level II Candidate, CMA (Certified)","MBA / B.Com Accounting, King Saud University (2010–2024), GPA: 3.1/4.0",-,Volunteer financial literacy trainer,"Abu Dhabi, UAE",1 month
C073,"Cloud infrastructure specialist, AWS and Kubernetes focused","CI/CD pipelines, Docker, Kubernetes, AWS, Terraform",8,"Cloud Infrastructure Engineer, Fintech Gulf (Beirut) — 2022–Present: relevant accomplishment. | DevOps Engineer, Barq Systems (Beirut) — earlier tenure, 2+ years.",AWS Certified DevOps Engineer,"B.Sc. Computer Engineering, Alexandria University (2016–2022), GPA: 2.8/4.0","Migrated legacy infra to Kubernetes, cut deployment time by 40%",Speaker at a regional DevOps meetup,"Beirut, Lebanon",2 months
C103,Finance Manager with strong FP&A and GCC market expertise,"Financial analysis, Excel/advanced, Oracle ERP, Variance analysis",1,"Financial Controller, Chalhoub Group (Abu Dhabi) — 2020–Present: relevant accomplishment. | Finance Manager, Emirates Holdings (Abu Dhabi) — earlier tenure, 2+ years.","CFA Level II Candidate, CMA (Certified)","MBA / B.Com Accounting, American University of Sharjah (2012–2018), GPA: 2.9/4.0",-,Volunteer financial literacy trainer,"Abu Dhabi, UAE",30 days notice
C008,Backend Engineer with 5+ years building scalable systems,"Python, Django, PostgreSQL, AWS, Docker, REST API design, Git, CI/CD",5,"Platform Engineer, NileTech Solutions (Cairo) — 2023–Present: relevant accomplishment. | Software Engineer, Barq Systems (Cairo) — earlier tenure, 2+ years.",Certified Kubernetes Administrator,"B.Sc. Computer Science, King Fahd University of Petroleum & Minerals (2016–2017), GPA: 4.0/4.0",Personal project: expense-tracking app using Django + React,Mentor at a local coding bootcamp (weekends),"Cairo, Egypt",2 months
C050,People-focused HR Business Partner with GCC experience,"Compensation & benefits, Policy design, Arabic fluency",2,"HR Business Partner, Aldar Properties (Riyadh) — 2021–Present: relevant accomplishment. | HR Business Partner, Majid Al Futtaim (Riyadh) — earlier tenure, 2+ years.",SHRM-CP,"B.A. Human Resources Management, Qatar University (2020–2021), GPA: 4.0/4.0",-,"Member, regional HR professionals network","Riyadh, Saudi Arabia",2 weeks notice
C110,People-focused HR Business Partner with GCC experience ,"Compensation & benefits, Policy design, Arabic fluency",2,"HR Business Partner, Aldar Properties (Riyadh) — 2021–Present: relevant accomplishment. | HR Business Partner, Majid Al Futtaim (Riyadh) — earlier tenure, 2+ years.",SHRM-CP,"B.A. Human Resources Management, Qatar University (2020–2021), GPA: 4.0/4.0",-,"Member, regional HR professionals network","Riyadh,Saudi Arabia",2 weeks notice
C020,Motivated sales professional with a track record of exceeding targets,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",10,"Sales Executive, STC (Sharjah) — 2021–Present: relevant accomplishment. | Sales Executive, Careem Business (Sharjah) — earlier tenure, 2+ years.",Salesforce Trailhead – Sales Cloud Basics,"B.A. Business Administration, Qatar University (2018–2014)",Self-taught Salesforce admin basics via Trailhead (completed 4 modules),-,"Sharjah, UAE",Negotiable
C047,HR professional with 4 years in employee relations and UAE labor law,"Compensation & benefits, Policy design, Arabic fluency",4,"HR Business Partner, DP World (Sharjah) — 2022–Present: relevant accomplishment. | HR Business Partner, Majid Al Futtaim (Sharjah) — earlier tenure, 2+ years.",SHRM-CP,"B.A. Human Resources Management, United Arab Emirates University (2019–2017), GPA: 2.9/4.0",-,"Member, regional HR professionals network","Sharjah, UAE",Negotiable
C085,"Talent acquisition specialist, tech and startup focus","Technical hiring, Boolean search, Interview coordination",8,"Recruiter, Noon.com (Alexandria) — 2020–Present: relevant accomplishment. | Recruiter, Bayut (Alexandria) — earlier tenure, 2+ years.",LinkedIn Certified Professional Recruiter,"B.A. Human Resources / Psychology, Cairo University (2016–2016), GPA: 2.6/4.0",-,Volunteer mentor for a regional women-in-tech program,"Alexandria, Egypt",30 days notice
C011,Motivated sales professional with a track record of exceeding targets,"Cold calling, Lead generation, CRM (Salesforce), Objection handling, Fluent Arabic & English",5,"Sales Executive, Gulf Retail Group (Beirut) — 2020–Present: relevant accomplishment. | Sales Executive, Al Noor Real Estate (Beirut) — earlier tenure, 2+ years.",Salesforce Trailhead – Sales Cloud Basics,"B.A. Business Administration, American University of Sharjah (2011–2017), GPA: 3.9/4.0",Ran a small dropshipping side business (2021-2022),Volunteer at a local youth sports club,"Beirut, Lebanon",2 weeks notice
C082,"Talent acquisition specialist, tech and startup focus","Full-cycle recruiting, ATS tools, Sourcing, LinkedIn Recruiter",4,"Technical Recruiter, Kitopi (Beirut) — 2021–Present: relevant accomplishment. | Talent Acquisition Specialist, Careem (Beirut) — earlier tenure, 2+ years.",-,"B.A. Human Resources / Psychology, Qatar University (2017–2017), GPA: 3.0/4.0",-,-,"Beirut, Lebanon",2 months
C080,"Cloud infrastructure specialist, AWS and Kubernetes focused","CI/CD pipelines, Docker, Kubernetes, AWS, Terraform",10,"Cloud Infrastructure Engineer, Fintech Gulf (Alexandria) — 2021–Present: relevant accomplishment. | Site Reliability Engineer, Souq Digital (Alexandria) — earlier tenure, 2+ years.",Certified Kubernetes Administrator,"B.Sc. Computer Engineering, American University in Cairo (2016–2019), GPA: 4.0/4.0",Open-source contributor to a Terraform module registry,Speaker at a regional DevOps meetup,"Alexandria, Egypt",Negotiable
C055,B2B marketing professional with SaaS positioning experience,"Go-to-market strategy, Positioning, Content creation, Figma",3,"Product Marketing Manager, Property Finder (Amman) — 2020–Present: relevant accomplishment. | Marketing Manager, Noon.com (Amman) — earlier tenure, 2+ years.",-,"B.A. Marketing / Communications, Alexandria University (2017–2020)","Ran a personal newsletter with 3,000+ subscribers",-,"Amman, Jordan",Available immediately
C063,Customer support specialist with 4 years in SaaS and e-commerce,"Zendesk, Troubleshooting, Written communication, Arabic + English bilingual",4,"Customer Support Specialist, Careem (Doha) — 2022–Present: relevant accomplishment. | Customer Support Specialist, Noon.com (Doha) — earlier tenure, 2+ years.",-,"B.A. English Literature / B.A. Communications, Alexandria University (2017–2023), GPA: 2.8/4.0",-,Volunteer translator for a local NGO,"Doha, Qatar",60 days
C062,"Bilingual customer success professional, Arabic/English","Customer support, Ticketing systems, Product knowledge, Empathy",4,"Customer Success Associate, Careem (Doha) — 2021–Present: relevant accomplishment. | Customer Support Specialist, Noon.com (Doha) — earlier tenure, 2+ years.",-,"B.A. English Literature / B.A. Communications, King Fahd University of Petroleum & Minerals (2018–2022), GPA: 2.6/4.0",Created an internal FAQ knowledge base used by the support team,Volunteer translator for a local NGO,"Doha, Qatar",2 weeks notice
C042,People-focused HR Business Partner with GCC experience,"Recruitment, Onboarding, Employee engagement, Workday",4,"HR Generalist, Etisalat (Sharjah) — 2021–Present: relevant accomplishment. | HR Business Partner, Emirates Group (Sharjah) — earlier tenure, 2+ years.",CIPD Level 5,"B.A. Human Resources Management, American University of Sharjah (2010–2018), GPA: 3.9/4.0",Led an internal employee engagement survey initiative,-,"Sharjah, UAE",45 days
C039,Data-driven analyst with e-commerce and retail background,"SQL, R, Power BI, Data visualization, Excel/advanced",3,"Business Intelligence Analyst, Majid Al Futtaim (Alexandria) — 2020–Present: relevant accomplishment. | Business Intelligence Analyst, Property Finder (Alexandria) — earlier tenure, 2+ years.",Microsoft Certified: Data Analyst Associate,"B.Sc. Statistics / B.Sc. Computer Science, University of Jordan (2017–2014), GPA: 3.0/4.0","Kaggle competition, top 15% finish","Organizer, local data science meetup","Alexandria, Egypt",Available immediately
